[118179] ['(3-6i)', '(3+2i)', '(6+3i)', '(9+9i)'] -> 3+2i * (3-6i + 6+3i) - 9+9i
[118197] ['(3-6i)', '(3+2i)', '(6+4i)', '(9+6i)'] -> (3-6i + 9+6i) / (3+2i / 6+4i)
[118211] ['(3-6i)', '(3+2i)', '(6+6i)', '(7+4i)'] -> (3-6i + 7+4i) / (3+2i / 6+6i)
[118214] ['(3-6i)', '(3+2i)', '(6+6i)', '(8-6i)'] -> 6+6i * (8-6i - (3-6i + 3+2i))
[118219] ['(3-6i)', '(3+2i)', '(6+6i)', '(9-6i)'] -> 3-6i * (6+6i - 3+2i) - 9-6i
[118306] ['(3-6i)', '(3+2i)', '(7-7i)', '(8-i)'] -> 1-9i * 2+3i - (-7i + 5-8i)
[118343] ['(3-6i)', '(3+2i)', '(7-4i)', '(8-4i)'] -> 3-6i - 8-4i + 3+2i * 7-4i
[118346] ['(3-6i)', '(3+2i)', '(7-4i)', '8'] -> 3-6i * 3+2i / (7-4i / 8)
[118396] ['(3-6i)', '(3+2i)', '(7-i)', '(9+9i)'] -> 1-i * 7+7i + 4 + 6
[118417] ['(3-6i)', '(3+2i)', '(7+2i)', '(9+6i)'] -> 3-6i + 9+6i / (3+2i / 7+2i)
[118439] ['(3-6i)', '(3+2i)', '(7+4i)', '(8-2i)'] -> 3-6i - 7+4i + 3+2i * 8-2i
[118465] ['(3-6i)', '(3+2i)', '(7+7i)', '(8-5i)'] -> 3+2i * 8-5i - (3-6i + 7+7i)
[118529] ['(3-6i)', '(3+2i)', '(8-6i)', '(9+4i)'] -> 3+2i * 8-6i - (3-6i + 9+4i)
[118545] ['(3-6i)', '(3+2i)', '(8-3i)', '(9+i)'] -> 3-6i - 9+i + 3+2i * 8-3i
[118558] ['(3-6i)', '(3+2i)', '8', '(9-4i)'] -> 8 * (9-4i - (3-6i + 3+2i))
[118607] ['(3-6i)', '(3+2i)', '(8+9i)', '(9-i)'] -> 3-6i - 8+9i + 3+2i * 9-i
[118610] ['(3-6i)', '(3+2i)', '(9-9i)', '(9-8i)'] -> 9-9i * (3+2i - 9-8i / 3-6i)
[118628] ['(3-6i)', '(3+2i)', '(9-5i)', '(9+9i)'] -> 3-6i + 3+2i + 9-5i + 9+9i
[118629] ['(3-6i)', '(3+2i)', '(9-4i)', '(9+8i)'] -> 3-6i + 3+2i + 9-4i + 9+8i
[118632] ['(3-6i)', '(3+2i)', '(9-3i)', '(9+7i)'] -> 3-6i + 3+2i + 9-3i + 9+7i
[118637] ['(3-6i)', '(3+2i)', '(9-i)', '(9+5i)'] -> 3-6i + 3+2i + 9-i + 9+5i
[118639] ['(3-6i)', '(3+2i)', '9', '(9+4i)'] -> 3-6i + 3+2i + 9 + 9+4i
[118640] ['(3-6i)', '(3+2i)', '(9+i)', '(9+3i)'] -> -4i * (8-9i - (-9i + 8-6i))
[118644] ['(3-6i)', '(3+2i)', '(9+2i)', '(9+2i)'] -> 1+i * 4-4i * (3-i - -i)
[118658] ['(3-6i)', '(3+3i)', '(3+3i)', '(4+2i)'] -> (-i + 6+7i) * (3-i - 1+i)
[118660] ['(3-6i)', '(3+3i)', '(3+3i)', '(4+5i)'] -> 3+3i * (4+5i + 3-6i - 3+3i)
[118661] ['(3-6i)', '(3+3i)', '(3+3i)', '(5-8i)'] -> (3+3i + 3+3i) * (5-8i - 3-6i)
